Date,FRED/DEXUSAL,FRED/DEXBZUS,FRED/DEXUSUK,FRED/DEXCAUS,FRED/DEXCHUS,FRED/DEXDNUS,FRED/DEXUSEU,FRED/DEXHKUS,FRED/DEXINUS,FRED/DEXJPUS,FRED/DEXMAUS,FRED/DEXMXUS,FRED/DEXTAUS,FRED/DEXUSNZ,FRED/DEXNOUS,FRED/DEXSIUS,FRED/DEXSFUS,FRED/DEXKOUS,FRED/DEXSDUS,FRED/DEXSZUS,FRED/DEXTHUS,FRED/DEXVZUS
1971,0.018995132002239266,,0.020339628193798254,0.024120009705113625,,0.02327285602413215,,,,0.0556894889181911,0.027530109531089635,,,0.019360927411813268,0.023871999653425523,,,,0.020149756732158654,0.04012541158059227,,
1972,0.0689757627837743,,0.04632137128073811,0.016356955428539346,,0.09412551359570281,,,,0.041987273796125386,0.04753321973401771,,,0.023606634830577428,0.03160012808533391,,,,0.020416158495196107,0.08290350578353446,,
1973,0.1264338901180322,,0.06307850703524792,0.017166487583069663,,0.11856160420101541,,,0.13817832385060946,0.1104633814968053,0.11726134760575012,,,0.16047457011239522,0.1297128950274455,,,,0.13278579733709847,0.13546573709544044,,
1974,0.12222974225743359,,0.07180142703536278,0.02219046843348944,,0.114695365092891,,,0.08638545638550897,0.095597441911924,0.06989434509924437,,,0.10537742991886258,0.09890359988652501,,,,0.10776187462877526,0.14149978556313017,,
1975,0.03147372523564499,,0.05305078912795815,0.024377064267044925,,0.0718917409400663,,,0.07442881551175927,0.04084484957159922,0.04889893189582617,,,0.15479289091760343,0.07159915458722475,,,,0.07215192751594537,0.0888996617309497,,
1976,0.1808104527494301,,0.09464507555401266,0.039364331497295006,,0.05329529142611006,,,0.08797419913696836,0.032593496421927694,0.0882523707578307,,,0.0920293750773097,0.045704717779609334,,,,0.03689241114355783,0.06431219798517072,,
1977,0.03149426174175092,,0.05118321451360648,0.040236725673064036,,0.06476274945853258,,,0.049014213270772725,0.05665836554597031,0.02431837890177507,,,0.033643534419702324,0.06548942229446231,,,,0.11969456697123018,0.06407259853960136,,
1978,0.042084171111924834,,0.09480725695324864,0.035541543266787906,,0.1233382096635051,,,0.10903496265346348,0.12887877111689824,0.08591655764918917,,,0.06398166185003241,0.14303353640098893,,,,0.07917494615614001,0.19770704992547122,,
1979,0.028434226156301673,,0.08936957850223527,0.0345724402428108,,0.07429252505232409,,,0.10174157328051603,0.10470928077176024,0.043017901039242704,,,0.07985795030873066,0.059213963347369385,,,,0.049083597135275214,0.09238466711405847,,
1980,0.03283998189121214,,0.0784813538440342,0.04037547616835666,,0.09262047094257414,,,0.06325522207898324,0.11602503048654132,0.07996749744661862,,,0.044279795129872096,0.060289041036591835,,0.033888914396411125,,0.06823640223969547,0.11353263479344575,,
1981,0.04074422959852186,,0.1343405339412324,0.04026277885938082,0.08307884911544947,0.12927314185862557,,0.08165830288534981,0.07927791442006757,0.11092214937041746,0.050930914288596356,,,0.0662878180436427,0.09906755157625229,0.04970085246159405,0.07649479795281178,0.02459982891074464,0.13670265438078014,0.1467856484113151,0.11272483879889054,
1982,0.04753600515844652,,0.09104110485436667,0.04628736769131765,0.06896973762608238,0.10138608745222248,,0.10142199781087384,0.05091954715177925,0.1191146379699404,0.04477145261295606,,,0.057156966796941794,0.0913803502824198,0.05730957019592722,0.08792823984446921,0.012188525164510947,0.1744184167915731,0.11928135741304667,0.0021314693468135956,
1983,0.11481464648229976,,0.08433627431893544,0.021440123447062975,0.04734025566989282,0.08152639254042517,,0.15036039664058493,0.03520979114494729,0.07991925753268873,0.03456003903516632,,0.08836024678039875,0.0981809860213234,0.06090798539081544,0.03582683487293581,0.08360549644067176,0.009628363876951292,0.057363513613741264,0.09172177588056414,0.0033781366332501237,
1984,0.07791730108588915,,0.098542182271515,0.03271838656106455,0.08593241096512806,0.10241205578544087,,0.0395733998151522,0.044151276760264986,0.06683251536147272,0.042019357276617264,,0.009175616960445462,0.1898969871402711,0.07809064654021176,0.04143046240701809,0.18588408748343088,0.014778935594589456,0.07441024435999126,0.09780673478764097,0.17110452567978826,
1985,0.17957424690930598,,0.16723215437083638,0.04326143806796598,0.04483839595077719,0.19152399558721805,,0.03689466598756927,0.12225509136787202,0.08847057100864816,0.06554160433043993,,0.013167799403175109,0.19680964318015828,0.1144905720198497,0.07953557317976293,0.3695034472463943,0.016755907071270684,0.10570477445353736,0.14386368825059845,0.11489273665890208,
1986,0.11772545065487826,,0.10305689910967374,0.04249280964464767,0.15552779232668712,0.1162727068229096,,0.008787292931674618,0.09007134143994647,0.11033934189066376,0.06348296173615371,,0.01606958783854369,0.16766037739913695,0.12151056508669338,0.04770994814060333,0.2039651387330132,0.010166260030987867,0.07940648000783043,0.13442920610362044,0.023651920516552506,
1987,0.09025179017284368,,0.09614617509490644,0.04249098107815442,0.0,0.10989641288956885,,0.010361641985489205,0.053251564439596166,0.10492441555310991,0.0351116247978448,,0.018618457484579454,0.13351893698738343,0.07991018383533247,0.03142245666539403,0.11881603258231947,0.010142693068961482,0.07725493843269247,0.11832044720260493,0.10560987134004882,
1988,0.11139559664217795,,0.10305829465215917,0.05097030812902646,0.0,0.09570003384813582,,0.007824452749675916,0.05143243651550936,0.10195187699866676,0.03682576061951847,,0.015466129078915486,0.13866688304114194,0.07857818302977192,0.03287647730747159,0.11943227558254942,0.013359117577763077,0.07340753724670605,0.10556938456318948,0.0238867307827387,
1989,0.11849107386161184,,0.11477692147081196,0.034871411301849495,0.264500343165154,0.10647619121601393,,0.006086436187890925,0.0431336840032591,0.10966417648941038,0.031155829249324016,,0.05019107950454554,0.09149121741808161,0.08629272367264322,0.039282944764565654,0.11088491491112105,0.010541273626001858,0.08222095227152106,0.12139359209759142,0.0381126429706388,
1990,0.09591373326533915,,0.09396305491943081,0.04744206313652966,0.10406911208214233,0.08987940133874696,,0.007418007036085401,0.031661828650921355,0.10447600268089605,0.019631344113406102,,0.04346390397872157,0.08520648514623114,0.07424115826447879,0.0414076049277506,0.07486169900321703,0.012923054672595304,0.07640840127601922,0.11273164014600032,0.040599864023104795,
1991,0.06017230079502917,,0.11997106214013172,0.02840375225818742,0.013860100467303982,0.13091844075030168,,0.010871309139328123,0.1670947934216575,0.09548880170958875,0.026938733667086455,,0.022284165522246657,0.06534192046790968,0.12582003973089081,0.05028157071290336,0.13726421168565767,0.028659621789965187,0.13470218409699583,0.12603861903334967,0.019206870767773415,
1992,0.06869794354288672,,0.13505710900868953,0.047584788216824284,0.02944875075779347,0.13275840321998972,,0.006777480395748941,0.09330470098752504,0.08827863417893447,0.03809556431771505,,0.038423166288885494,0.06221118385705358,0.14708551965248998,0.03766242363423887,0.08339028505022038,0.020497165199951022,0.15157626779732777,0.1509200222465863,0.019519042423371616,
1993,0.09106886004192871,,0.11663344997340594,0.04794597261809951,0.012856963175143052,0.10569057267221792,,0.005866085962369515,0.11180005011154577,0.1085671741244683,0.04541299576321845,0.11541703137677145,0.025604316081374208,0.06913279746474887,0.09826286360658323,0.03349901924237299,0.04737745977292218,0.02067902302603784,0.1281534351066433,0.11740764000101718,0.01795516811760499,
1994,0.06937234212141158,,0.06502806830456864,0.04274676377075512,0.4925153124301401,0.07962733449237236,,0.003716641187113699,0.025946203444701298,0.0872598571884565,0.05094962219250664,0.3525906113450818,0.023528324859011768,0.053943812291122606,0.07938049843355234,0.02832089543595268,0.07775982411166499,0.018524590359407542,0.09743212353718833,0.09384189608967114,0.0549917678241235,
1995,0.07627916034982714,0.061164799961099456,0.08273256794441591,0.05284810601463367,0.0077836166323959925,0.11629517310729312,,0.0040260850987846614,0.06070772765856523,0.13506196678843363,0.044107604287912744,0.40828804224007104,0.04696887449184357,0.061727190756361634,0.10263565008650084,0.04077661482510142,0.050618237940014826,0.03704590149982689,0.09459003848529011,0.14310607925444446,0.03464976283684308,0.6962882303245025
1996,0.06531593910742742,0.03951858595185577,0.06150983027730794,0.028640929446214165,0.0031490670739923563,0.0619510686573758,,0.0022884746760225136,0.08799113946581204,0.07542349612733489,0.021805361016817928,0.06951128378155554,0.029784187254521352,0.06151476618724549,0.05900789150148662,0.035031347716535835,0.10606831215926744,0.03937948502032581,0.06729067968611424,0.08095780780195541,0.03612248587797935,0.7121267213101999
1997,0.08598876129771106,0.01648766722850232,0.08573193107403228,0.040444430189673204,0.00505722411002851,0.09459394485368132,,0.005318818149600425,0.059273050762385544,0.11232855550328223,0.1847262932377979,0.08450756014557763,0.08782183142648635,0.07442501562702084,0.10905859620190818,0.06670003283164623,0.04873656654073356,0.394804592318988,0.09301946086128554,0.10208615203819528,0.317371411581893,0.03913914227810122
1998,0.13785991145463422,0.016194277147253775,0.06909319197410678,0.06245893894966847,0.013769376258603735,0.08400204253012197,,0.004795306615206882,0.06299436527981753,0.17715633481080123,0.2509791882010137,0.11809829246484817,0.08237050041354262,0.14448686181823564,0.11578441216973415,0.13301703391227554,0.1753517600592403,0.24033799289053862,0.104405104944624,0.1044586077114801,0.22938363574837886,0.04267337037970673
1999,0.0885130150548804,0.29706875842686586,0.0661109774012051,0.056059716612820096,0.0005003186095588688,0.08897900218339092,0.0883085859888062,0.002423748760716839,0.02613099995586047,0.13160301593264048,0.00011586732995396967,0.0929198573520279,0.04425572514124473,0.10964410010531138,0.07748112076842817,0.04714425059608237,0.0885297827735741,0.06892929570647854,0.08007595184504697,0.09651617169522292,0.09934722467841288,0.01733852903644125
2000,0.115767917175999,0.07915580670655015,0.08460239348971182,0.049727493624664346,0.0007076657913966715,0.14034342896592802,0.11492005641034822,0.0015205016450886173,0.033165259758892486,0.09850146052904528,0.00018353682967670742,0.07531162144145907,0.07300523838588119,0.13315421216713044,0.10076435715303549,0.03492401851587317,0.09380632716830076,0.06629962155918379,0.10803205112321984,0.10930796236850283,0.07114621967716174,0.014867045292557316
